,Video Link,Video Title
200,https://www.youtube.com/watch?v=_uQrJ0TkZlc,Python Tutorial - Python for Beginners [Full Course]
201,https://www.youtube.com/watch?v=_uQrJ0TkZlc,Python Tutorial - Python for Beginners [Full Course]
202,https://www.youtube.com/watch?v=u2zsY-2uZiE,Data Science Tutorial | Data Science for Beginners | Python for Data Science | 11 Hours Full Course
203,https://www.youtube.com/watch?v=GJaYfNiY4to,How to Learn Data Science in 2020 | Step By Step Action Plan for Learning Data Science | Edureka
204,https://www.youtube.com/watch?v=cVxELmATmOU,Data Science பற்றி ஒரு எளிய விளக்கம்
205,https://www.youtube.com/watch?v=ua-CiDNNj30,Learn Data Science Tutorial - Full Course for Beginners
206,https://www.youtube.com/watch?v=k2P_pHQDlp0,AI VS ML VS DL VS Data Science
207,https://www.youtube.com/watch?v=Vs_ko7lF71w,DATA SCIENCE என்றால் என்ன? (Tamil)
208,https://www.youtube.com/watch?v=edvg4eHi_Mw,Python for Data Science | Data Science with Python | Python for Data Analysis | 11 Hours Full Course
209,https://www.youtube.com/watch?v=iJUzouXg5kY,Demystifying Data Science | Mr.Asitang Mishra | TEDxOakLawn
210,https://www.youtube.com/watch?v=rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial]
211,https://www.youtube.com/watch?v=rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial]
212,https://www.youtube.com/watch?v=rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial]
213,https://www.youtube.com/watch?v=rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial]
214,https://www.youtube.com/watch?v=rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial]
215,https://www.youtube.com/watch?v=rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial]
216,https://www.youtube.com/watch?v=rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial]
217,https://www.youtube.com/watch?v=rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial]
218,https://www.youtube.com/watch?v=rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial]
219,https://www.youtube.com/watch?v=Scg59_McA8Q,Highest Paid Jobs of Future | Data Scientist Complete Detail Hindi | Courses | Salary | Degree's
220,https://www.youtube.com/watch?v=XrOLiypGDCQ,How to become a data scientist for free? | Step by step approach to become data scientist
221,https://www.youtube.com/watch?v=im1Xkj9gU9s,Meet The 12-Year-Old Who Is Working As A Data Scientist In Hyderabad
222,https://www.youtube.com/watch?v=XOgx6OyGF1Y,FREE Data Science Online Courses with FREE certificate
223,https://www.youtube.com/watch?v=Bi7f1JSSlh8,Most Research in Deep Learning is a Total Waste of Time - Jeremy Howard | AI Podcast Clips
224,https://www.youtube.com/watch?v=lXvPopmYJ5E,Best Books For Machine Learning 2020 | These Books Will Help You Learn Machine Learning |Simplilearn
225,https://www.youtube.com/watch?v=I74ymkoNTnw,🖥️ HOW TO GET STARTED WITH MACHINE LEARNING!
226,https://www.youtube.com/watch?v=uOVhmOzX4VE,Machine Learning Full Course - Learn Machine Learning | Machine Learning Tutorial | Intellipaat
227,https://www.youtube.com/watch?v=czVeSFH4dWc,Sundar Pichai: How machine learning & deep learning improved technologies
228,https://www.youtube.com/watch?v=6Hm1pNqQxq0,Machine Learning Vs Artificial Intelligence? Same or Different?
229,https://www.youtube.com/watch?v=63NTeLmDANo,What is machine learning and how to learn it ?
230,https://www.youtube.com/watch?v=HcqpanDadyQ,What is Machine Learning?
231,https://www.youtube.com/watch?v=9f-GarcDY58,Machine Learning Tutorial | Machine Learning Full Course | Learn Machine Learning | Simplilearn
232,https://www.youtube.com/watch?v=OuPMVdski3E,Machine Learning in Hindi | Machine Learning Tutorial in Hindi | Python for Machine Learning | 2020
233,https://www.youtube.com/watch?v=aircAruvnKk,"But what is a Neural Network? | Deep learning, chapter 1"
